Target Champ,Enemy 1,Enemy 2,Enemy 3,Enemy 4,Enemy 5,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Player puuid,Match ID,Date added,Patch
Sett,Akali,Diana,Zed,Jhin,Sion,Goredrinker,Sterak's Gage,Bramble Vest,Doran's Blade,Mercury's Treads,Ruby Crystal,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5709762070,3/2/2022,12.2
Sett,Darius,Elise,Veigar,Lucian,Rakan,Goredrinker,Plated Steelcaps,Bramble Vest,Hullbreaker,Titanic Hydra,Null-Magic Mantle,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5709427589,3/2/2022,12.2
Sett,Renekton,LeeSin,Zoe,Kaisa,Rakan,Goredrinker,Long Sword,Hullbreaker,Plated Steelcaps,Bramble Vest,Titanic Hydra,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5709441896,3/2/2022,12.2
Sett,Camille,LeeSin,Corki,Vayne,Karma,Goredrinker,Pickaxe,no item,Ruby Crystal,Doran's Blade,Plated Steelcaps,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5709289246,3/2/2022,12.2
Sett,Urgot,XinZhao,Veigar,Sivir,Soraka,Goredrinker,Sterak's Gage,Force of Nature,Plated Steelcaps,Bramble Vest,no item,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5709105230,3/2/2022,12.2
Sett,Gwen,Khazix,Zed,Ziggs,Soraka,Goredrinker,Phage,Mercury's Treads,Doran's Blade,Bramble Vest,Pickaxe,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5708988598,3/2/2022,12.2
Sett,Singed,LeeSin,TwistedFate,Kaisa,Rakan,Goredrinker,Hullbreaker,Plated Steelcaps,Titanic Hydra,Phage,Ruby Crystal,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5708994801,3/2/2022,12.2
Sett,Aatrox,JarvanIV,Sylas,Ziggs,Blitzcrank,Goredrinker,Sterak's Gage,Plated Steelcaps,Bramble Vest,Ruby Crystal,no item,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5708815972,3/2/2022,12.2
Sett,Ornn,Warwick,Zilean,Jinx,Pyke,Goredrinker,Mercury's Treads,Bramble Vest,Hullbreaker,Tiamat,Ruby Crystal,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5708843144,3/2/2022,12.2
Sett,Darius,XinZhao,Fizz,Jinx,Blitzcrank,Goredrinker,Plated Steelcaps,Hullbreaker,Bramble Vest,Titanic Hydra,Doran's Blade,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5708821842,3/2/2022,12.2
